Month,Duration of job search,State and territory (STT): ASGS (2011),Unemployed total ('000)
Feb-1991,26 weeks and under 52 weeks (6-12 months),Queensland,19.2952708
Feb-1991,26 weeks and under 52 weeks (6-12 months),South Australia,11.7431622
Feb-1991,26 weeks and under 52 weeks (6-12 months),Western Australia,13.7845
Feb-1991,26 weeks and under 52 weeks (6-12 months),Tasmania,4.0529563
Feb-1991,26 weeks and under 52 weeks (6-12 months),Northern Territory,0.3288021
Feb-1991,26 weeks and under 52 weeks (6-12 months),Australian Capital Territory,1.2823093
Feb-1991,52 weeks and under 104 weeks (1-2 years),New South Wales,28.3478147
Feb-1991,52 weeks and under 104 weeks (1-2 years),Victoria,19.2035509
Feb-1991,52 weeks and under 104 weeks (1-2 years),Queensland,14.9962412
Feb-1991,52 weeks and under 104 weeks (1-2 years),South Australia,7.6237879
Feb-1991,52 weeks and under 104 weeks (1-2 years),Western Australia,8.0356732
Feb-1991,52 weeks and under 104 weeks (1-2 years),Tasmania,2.5528273
Feb-1991,52 weeks and under 104 weeks (1-2 years),Northern Territory,0.4976134
Feb-1991,52 weeks and under 104 weeks (1-2 years),Australian Capital Territory,0.7187569
Feb-1991,104 weeks and over (2 years and over),New South Wales,29.7058612
Feb-1991,104 weeks and over (2 years and over),Victoria,12.4240315
Feb-1991,104 weeks and over (2 years and over),Queensland,11.8731002
Feb-1991,104 weeks and over (2 years and over),South Australia,8.0267129
Feb-1991,104 weeks and over (2 years and over),Western Australia,4.9992765
Feb-1991,104 weeks and over (2 years and over),Tasmania,3.3742601
Feb-1991,104 weeks and over (2 years and over),Northern Territory,0.5766437
Feb-1991,104 weeks and over (2 years and over),Australian Capital Territory,0.8298003
Mar-1991,Under 4 weeks (under 1 month),New South Wales,47.2320728
Mar-1991,Under 4 weeks (under 1 month),Victoria,34.3006691
Mar-1991,Under 4 weeks (under 1 month),Queensland,29.6664743
Mar-1991,Under 4 weeks (under 1 month),South Australia,9.2021427
Mar-1991,Under 4 weeks (under 1 month),Western Australia,17.1682548
Mar-1991,Under 4 weeks (under 1 month),Tasmania,3.5612534
Mar-1991,Under 4 weeks (under 1 month),Northern Territory,1.1681295
Mar-1991,Under 4 weeks (under 1 month),Australian Capital Territory,1.880968
Mar-1991,4 weeks and under 13 weeks (1-3 months),New South Wales,70.918311
Mar-1991,4 weeks and under 13 weeks (1-3 months),Victoria,62.2129651
Mar-1991,4 weeks and under 13 weeks (1-3 months),Queensland,48.1099943
Mar-1991,4 weeks and under 13 weeks (1-3 months),South Australia,18.8888194
Mar-1991,4 weeks and under 13 weeks (1-3 months),Western Australia,26.3584512
Mar-1991,4 weeks and under 13 weeks (1-3 months),Tasmania,5.1348172
Mar-1991,4 weeks and under 13 weeks (1-3 months),Northern Territory,3.1037583
Mar-1991,4 weeks and under 13 weeks (1-3 months),Australian Capital Territory,2.6077883
Mar-1991,13 weeks and under 26 weeks (3-6 months),New South Wales,41.8664361
Mar-1991,13 weeks and under 26 weeks (3-6 months),Victoria,47.1818465
Mar-1991,13 weeks and under 26 weeks (3-6 months),Queensland,32.9357484
Mar-1991,13 weeks and under 26 weeks (3-6 months),South Australia,11.2005348
Mar-1991,13 weeks and under 26 weeks (3-6 months),Western Australia,17.1039604
Mar-1991,13 weeks and under 26 weeks (3-6 months),Tasmania,3.6390823
Mar-1991,13 weeks and under 26 weeks (3-6 months),Northern Territory,1.416351
Mar-1991,13 weeks and under 26 weeks (3-6 months),Australian Capital Territory,1.6954565
Mar-1991,26 weeks and under 52 weeks (6-12 months),New South Wales,32.9530986
Mar-1991,26 weeks and under 52 weeks (6-12 months),Victoria,34.0642034
