Month,Duration of job search,State and territory (STT): ASGS (2011),Unemployed total ('000)
Oct-1997,26 weeks and under 52 weeks (6-12 months),Queensland,28.07564568
Oct-1997,26 weeks and under 52 weeks (6-12 months),South Australia,12.68927654
Oct-1997,26 weeks and under 52 weeks (6-12 months),Western Australia,10.17508179
Oct-1997,26 weeks and under 52 weeks (6-12 months),Tasmania,4.34149734
Oct-1997,26 weeks and under 52 weeks (6-12 months),Northern Territory,0.2807913
Oct-1997,26 weeks and under 52 weeks (6-12 months),Australian Capital Territory,3.22222142
Oct-1997,52 weeks and under 104 weeks (1-2 years),New South Wales,29.66633964
Oct-1997,52 weeks and under 104 weeks (1-2 years),Victoria,27.41404426
Oct-1997,52 weeks and under 104 weeks (1-2 years),Queensland,18.60045362
Oct-1997,52 weeks and under 104 weeks (1-2 years),South Australia,12.2288748
Oct-1997,52 weeks and under 104 weeks (1-2 years),Western Australia,5.49064228
Oct-1997,52 weeks and under 104 weeks (1-2 years),Tasmania,3.47345186
Oct-1997,52 weeks and under 104 weeks (1-2 years),Northern Territory,0.11362402
Oct-1997,52 weeks and under 104 weeks (1-2 years),Australian Capital Territory,0.96608198
Oct-1997,104 weeks and over (2 years and over),New South Wales,41.75751313
Oct-1997,104 weeks and over (2 years and over),Victoria,34.95179736
Oct-1997,104 weeks and over (2 years and over),Queensland,17.84534549
Oct-1997,104 weeks and over (2 years and over),South Australia,13.05996329
Oct-1997,104 weeks and over (2 years and over),Western Australia,4.02153006
Oct-1997,104 weeks and over (2 years and over),Tasmania,4.31677203
Oct-1997,104 weeks and over (2 years and over),Northern Territory,0.07089447
Oct-1997,104 weeks and over (2 years and over),Australian Capital Territory,1.05617302
Nov-1997,Under 4 weeks (under 1 month),New South Wales,35.38390111
Nov-1997,Under 4 weeks (under 1 month),Victoria,23.33084223
Nov-1997,Under 4 weeks (under 1 month),Queensland,22.66352901
Nov-1997,Under 4 weeks (under 1 month),South Australia,8.22688651
Nov-1997,Under 4 weeks (under 1 month),Western Australia,11.97266694
Nov-1997,Under 4 weeks (under 1 month),Tasmania,2.65286102
Nov-1997,Under 4 weeks (under 1 month),Northern Territory,1.15645997
Nov-1997,Under 4 weeks (under 1 month),Australian Capital Territory,2.34749186
Nov-1997,4 weeks and under 13 weeks (1-3 months),New South Wales,40.55581291
Nov-1997,4 weeks and under 13 weeks (1-3 months),Victoria,33.50257458
Nov-1997,4 weeks and under 13 weeks (1-3 months),Queensland,33.44652158
Nov-1997,4 weeks and under 13 weeks (1-3 months),South Australia,11.98458195
Nov-1997,4 weeks and under 13 weeks (1-3 months),Western Australia,14.47172931
Nov-1997,4 weeks and under 13 weeks (1-3 months),Tasmania,4.21105006
Nov-1997,4 weeks and under 13 weeks (1-3 months),Northern Territory,0.77490683
Nov-1997,4 weeks and under 13 weeks (1-3 months),Australian Capital Territory,3.28621378
Nov-1997,13 weeks and under 26 weeks (3-6 months),New South Wales,29.98046861
Nov-1997,13 weeks and under 26 weeks (3-6 months),Victoria,20.94684498
Nov-1997,13 weeks and under 26 weeks (3-6 months),Queensland,20.41761614
Nov-1997,13 weeks and under 26 weeks (3-6 months),South Australia,9.74800895
Nov-1997,13 weeks and under 26 weeks (3-6 months),Western Australia,10.59368093
Nov-1997,13 weeks and under 26 weeks (3-6 months),Tasmania,3.05050354
Nov-1997,13 weeks and under 26 weeks (3-6 months),Northern Territory,0.51570166
Nov-1997,13 weeks and under 26 weeks (3-6 months),Australian Capital Territory,2.08616819
Nov-1997,26 weeks and under 52 weeks (6-12 months),New South Wales,38.78014791
Nov-1997,26 weeks and under 52 weeks (6-12 months),Victoria,36.31146494
Nov-1997,26 weeks and under 52 weeks (6-12 months),Queensland,25.76437004
Nov-1997,26 weeks and under 52 weeks (6-12 months),South Australia,10.49162363
Nov-1997,26 weeks and under 52 weeks (6-12 months),Western Australia,9.63482854
Nov-1997,26 weeks and under 52 weeks (6-12 months),Tasmania,4.99414604
Nov-1997,26 weeks and under 52 weeks (6-12 months),Northern Territory,0.95694894
Nov-1997,26 weeks and under 52 weeks (6-12 months),Australian Capital Territory,2.39150319
Nov-1997,52 weeks and under 104 weeks (1-2 years),New South Wales,33.64099484
Nov-1997,52 weeks and under 104 weeks (1-2 years),Victoria,27.94008351
Nov-1997,52 weeks and under 104 weeks (1-2 years),Queensland,24.8628154
Nov-1997,52 weeks and under 104 weeks (1-2 years),South Australia,12.17681158
Nov-1997,52 weeks and under 104 weeks (1-2 years),Western Australia,6.74606697
Nov-1997,52 weeks and under 104 weeks (1-2 years),Tasmania,3.20586459
Nov-1997,52 weeks and under 104 weeks (1-2 years),Northern Territory,0.18500192
Nov-1997,52 weeks and under 104 weeks (1-2 years),Australian Capital Territory,1.06882058
Nov-1997,104 weeks and over (2 years and over),New South Wales,35.92670526
Nov-1997,104 weeks and over (2 years and over),Victoria,28.43061617
Nov-1997,104 weeks and over (2 years and over),Queensland,16.19324814
Nov-1997,104 weeks and over (2 years and over),South Australia,13.25693212
Nov-1997,104 weeks and over (2 years and over),Western Australia,4.5179644
Nov-1997,104 weeks and over (2 years and over),Tasmania,4.95872573
Nov-1997,104 weeks and over (2 years and over),Northern Territory,0.25059202
Nov-1997,104 weeks and over (2 years and over),Australian Capital Territory,0.7776974
Dec-1997,Under 4 weeks (under 1 month),New South Wales,36.95222764
Dec-1997,Under 4 weeks (under 1 month),Victoria,42.89104809
Dec-1997,Under 4 weeks (under 1 month),Queensland,29.02250291
Dec-1997,Under 4 weeks (under 1 month),South Australia,13.08414029
Dec-1997,Under 4 weeks (under 1 month),Western Australia,15.75230821
Dec-1997,Under 4 weeks (under 1 month),Tasmania,4.00617259
Dec-1997,Under 4 weeks (under 1 month),Northern Territory,1.31303193
Dec-1997,Under 4 weeks (under 1 month),Australian Capital Territory,3.04621303
Dec-1997,4 weeks and under 13 weeks (1-3 months),New South Wales,43.88330507
Dec-1997,4 weeks and under 13 weeks (1-3 months),Victoria,38.21726478
Dec-1997,4 weeks and under 13 weeks (1-3 months),Queensland,31.06122848
Dec-1997,4 weeks and under 13 weeks (1-3 months),South Australia,10.36255287
Dec-1997,4 weeks and under 13 weeks (1-3 months),Western Australia,15.65078394
Dec-1997,4 weeks and under 13 weeks (1-3 months),Tasmania,5.02667327
Dec-1997,4 weeks and under 13 weeks (1-3 months),Northern Territory,1.55412688
Dec-1997,4 weeks and under 13 weeks (1-3 months),Australian Capital Territory,2.65489562
Dec-1997,13 weeks and under 26 weeks (3-6 months),New South Wales,23.17370883
Dec-1997,13 weeks and under 26 weeks (3-6 months),Victoria,20.44082951
Dec-1997,13 weeks and under 26 weeks (3-6 months),Queensland,21.12046415
Dec-1997,13 weeks and under 26 weeks (3-6 months),South Australia,6.93720364
Dec-1997,13 weeks and under 26 weeks (3-6 months),Western Australia,9.56702842
Dec-1997,13 weeks and under 26 weeks (3-6 months),Tasmania,2.41515774
Dec-1997,13 weeks and under 26 weeks (3-6 months),Northern Territory,0.4010899
Dec-1997,13 weeks and under 26 weeks (3-6 months),Australian Capital Territory,1.41416868
Dec-1997,26 weeks and under 52 weeks (6-12 months),New South Wales,34.21797223
Dec-1997,26 weeks and under 52 weeks (6-12 months),Victoria,28.20144793
Dec-1997,26 weeks and under 52 weeks (6-12 months),Queensland,23.24175931
Dec-1997,26 weeks and under 52 weeks (6-12 months),South Australia,11.15187459
Dec-1997,26 weeks and under 52 weeks (6-12 months),Western Australia,11.54497943
Dec-1997,26 weeks and under 52 weeks (6-12 months),Tasmania,4.76649382
Dec-1997,26 weeks and under 52 weeks (6-12 months),Northern Territory,0.45602067
Dec-1997,26 weeks and under 52 weeks (6-12 months),Australian Capital Territory,2.58990061
Dec-1997,52 weeks and under 104 weeks (1-2 years),New South Wales,38.76255211
Dec-1997,52 weeks and under 104 weeks (1-2 years),Victoria,27.84369122
Dec-1997,52 weeks and under 104 weeks (1-2 years),Queensland,27.05318552
Dec-1997,52 weeks and under 104 weeks (1-2 years),South Australia,12.03008067
Dec-1997,52 weeks and under 104 weeks (1-2 years),Western Australia,5.72246252
Dec-1997,52 weeks and under 104 weeks (1-2 years),Tasmania,4.0663543
Dec-1997,52 weeks and under 104 weeks (1-2 years),Northern Territory,0.57518225
Dec-1997,52 weeks and under 104 weeks (1-2 years),Australian Capital Territory,1.77156025
Dec-1997,104 weeks and over (2 years and over),New South Wales,39.90515238
Dec-1997,104 weeks and over (2 years and over),Victoria,26.61066228
Dec-1997,104 weeks and over (2 years and over),Queensland,14.48100527
Dec-1997,104 weeks and over (2 years and over),South Australia,13.9341758
Dec-1997,104 weeks and over (2 years and over),Western Australia,4.65442075
Dec-1997,104 weeks and over (2 years and over),Tasmania,5.51605427
Dec-1997,104 weeks and over (2 years and over),Northern Territory,0.29426148
Dec-1997,104 weeks and over (2 years and over),Australian Capital Territory,1.12428701
Jan-1998,Under 4 weeks (under 1 month),New South Wales,40.98002345
Jan-1998,Under 4 weeks (under 1 month),Victoria,34.04205971
Jan-1998,Under 4 weeks (under 1 month),Queensland,30.26275772
Jan-1998,Under 4 weeks (under 1 month),South Australia,11.83942659
Jan-1998,Under 4 weeks (under 1 month),Western Australia,16.65017611
Jan-1998,Under 4 weeks (under 1 month),Tasmania,2.48008769
Jan-1998,Under 4 weeks (under 1 month),Northern Territory,1.74470183
Jan-1998,Under 4 weeks (under 1 month),Australian Capital Territory,3.57418425
Jan-1998,4 weeks and under 13 weeks (1-3 months),New South Wales,67.1984435
Jan-1998,4 weeks and under 13 weeks (1-3 months),Victoria,55.83294401
Jan-1998,4 weeks and under 13 weeks (1-3 months),Queensland,48.17004481
Jan-1998,4 weeks and under 13 weeks (1-3 months),South Australia,18.41884392
Jan-1998,4 weeks and under 13 weeks (1-3 months),Western Australia,20.20272451
Jan-1998,4 weeks and under 13 weeks (1-3 months),Tasmania,5.65041209
Jan-1998,4 weeks and under 13 weeks (1-3 months),Northern Territory,2.48092359
Jan-1998,4 weeks and under 13 weeks (1-3 months),Australian Capital Territory,4.18202353
Jan-1998,13 weeks and under 26 weeks (3-6 months),New South Wales,22.35507664
Jan-1998,13 weeks and under 26 weeks (3-6 months),Victoria,21.13775872
Jan-1998,13 weeks and under 26 weeks (3-6 months),Queensland,19.95757363
Jan-1998,13 weeks and under 26 weeks (3-6 months),South Australia,7.85947081
Jan-1998,13 weeks and under 26 weeks (3-6 months),Western Australia,8.84785988
Jan-1998,13 weeks and under 26 weeks (3-6 months),Tasmania,2.59554698
Jan-1998,13 weeks and under 26 weeks (3-6 months),Northern Territory,0.25063042
Jan-1998,13 weeks and under 26 weeks (3-6 months),Australian Capital Territory,1.87107165
Jan-1998,26 weeks and under 52 weeks (6-12 months),New South Wales,32.80568152
Jan-1998,26 weeks and under 52 weeks (6-12 months),Victoria,30.73128787
Jan-1998,26 weeks and under 52 weeks (6-12 months),Queensland,18.49650087
Jan-1998,26 weeks and under 52 weeks (6-12 months),South Australia,11.75823859
Jan-1998,26 weeks and under 52 weeks (6-12 months),Western Australia,9.59068493
Jan-1998,26 weeks and under 52 weeks (6-12 months),Tasmania,3.56457769
Jan-1998,26 weeks and under 52 weeks (6-12 months),Northern Territory,0.22010606
Jan-1998,26 weeks and under 52 weeks (6-12 months),Australian Capital Territory,1.88584601
Jan-1998,52 weeks and under 104 weeks (1-2 years),New South Wales,34.4093301
Jan-1998,52 weeks and under 104 weeks (1-2 years),Victoria,27.92840133
Jan-1998,52 weeks and under 104 weeks (1-2 years),Queensland,22.28936868
Jan-1998,52 weeks and under 104 weeks (1-2 years),South Australia,10.14487825
Jan-1998,52 weeks and under 104 weeks (1-2 years),Western Australia,7.13394881
Jan-1998,52 weeks and under 104 weeks (1-2 years),Tasmania,4.34156537
Jan-1998,52 weeks and under 104 weeks (1-2 years),Australian Capital Territory,1.43999663
Jan-1998,104 weeks and over (2 years and over),New South Wales,35.03852477
Jan-1998,104 weeks and over (2 years and over),Victoria,28.70445055
Jan-1998,104 weeks and over (2 years and over),Queensland,15.80251434
Jan-1998,104 weeks and over (2 years and over),South Australia,13.78508665
Jan-1998,104 weeks and over (2 years and over),Western Australia,5.85979936
Jan-1998,104 weeks and over (2 years and over),Tasmania,4.40490675
Jan-1998,104 weeks and over (2 years and over),Northern Territory,0.11296897
Jan-1998,104 weeks and over (2 years and over),Australian Capital Territory,1.03647397
Feb-1998,Under 4 weeks (under 1 month),New South Wales,36.42771892
Feb-1998,Under 4 weeks (under 1 month),Victoria,26.01141127
Feb-1998,Under 4 weeks (under 1 month),Queensland,28.81308096
Feb-1998,Under 4 weeks (under 1 month),South Australia,9.72788923
Feb-1998,Under 4 weeks (under 1 month),Western Australia,15.72909357
Feb-1998,Under 4 weeks (under 1 month),Tasmania,3.29020622
Feb-1998,Under 4 weeks (under 1 month),Northern Territory,2.35982285
Feb-1998,Under 4 weeks (under 1 month),Australian Capital Territory,2.8512878
Feb-1998,4 weeks and under 13 weeks (1-3 months),New South Wales,67.64893622
Feb-1998,4 weeks and under 13 weeks (1-3 months),Victoria,57.59992454
Feb-1998,4 weeks and under 13 weeks (1-3 months),Queensland,49.85009792
Feb-1998,4 weeks and under 13 weeks (1-3 months),South Australia,17.63455041
Feb-1998,4 weeks and under 13 weeks (1-3 months),Western Australia,21.55446382
Feb-1998,4 weeks and under 13 weeks (1-3 months),Tasmania,4.80006343
Feb-1998,4 weeks and under 13 weeks (1-3 months),Northern Territory,1.49209874
Feb-1998,4 weeks and under 13 weeks (1-3 months),Australian Capital Territory,3.85915107
Feb-1998,13 weeks and under 26 weeks (3-6 months),New South Wales,28.99495743
Feb-1998,13 weeks and under 26 weeks (3-6 months),Victoria,27.20144389
Feb-1998,13 weeks and under 26 weeks (3-6 months),Queensland,22.39175618
Feb-1998,13 weeks and under 26 weeks (3-6 months),South Australia,8.69166867
Feb-1998,13 weeks and under 26 weeks (3-6 months),Western Australia,7.91628185
Feb-1998,13 weeks and under 26 weeks (3-6 months),Tasmania,3.05263143
Feb-1998,13 weeks and under 26 weeks (3-6 months),Northern Territory,1.19701113
Feb-1998,13 weeks and under 26 weeks (3-6 months),Australian Capital Territory,2.15367594
Feb-1998,26 weeks and under 52 weeks (6-12 months),New South Wales,34.80123323
Feb-1998,26 weeks and under 52 weeks (6-12 months),Victoria,25.94801553
Feb-1998,26 weeks and under 52 weeks (6-12 months),Queensland,18.94482257
Feb-1998,26 weeks and under 52 weeks (6-12 months),South Australia,10.96449428
Feb-1998,26 weeks and under 52 weeks (6-12 months),Western Australia,10.48030518
Feb-1998,26 weeks and under 52 weeks (6-12 months),Tasmania,3.9211246
Feb-1998,26 weeks and under 52 weeks (6-12 months),Northern Territory,0.41941279
Feb-1998,26 weeks and under 52 weeks (6-12 months),Australian Capital Territory,1.42372798
Feb-1998,52 weeks and under 104 weeks (1-2 years),New South Wales,37.06622877
Feb-1998,52 weeks and under 104 weeks (1-2 years),Victoria,27.38519685
Feb-1998,52 weeks and under 104 weeks (1-2 years),Queensland,24.03420002
Feb-1998,52 weeks and under 104 weeks (1-2 years),South Australia,11.71839606
Feb-1998,52 weeks and under 104 weeks (1-2 years),Western Australia,9.3961617
Feb-1998,52 weeks and under 104 weeks (1-2 years),Tasmania,4.51585474
Feb-1998,52 weeks and under 104 weeks (1-2 years),Northern Territory,0.55301083
Feb-1998,52 weeks and under 104 weeks (1-2 years),Australian Capital Territory,2.83938918
Feb-1998,104 weeks and over (2 years and over),New South Wales,44.09633713
Feb-1998,104 weeks and over (2 years and over),Victoria,30.91235097
Feb-1998,104 weeks and over (2 years and over),Queensland,20.27577022
Feb-1998,104 weeks and over (2 years and over),South Australia,12.44432283
Feb-1998,104 weeks and over (2 years and over),Western Australia,5.10427783
Feb-1998,104 weeks and over (2 years and over),Tasmania,4.000962
Feb-1998,104 weeks and over (2 years and over),Northern Territory,0.61515004
Feb-1998,104 weeks and over (2 years and over),Australian Capital Territory,1.57206719
Mar-1998,Under 4 weeks (under 1 month),New South Wales,34.17792349
Mar-1998,Under 4 weeks (under 1 month),Victoria,29.40636604
Mar-1998,Under 4 weeks (under 1 month),Queensland,21.55513507
Mar-1998,Under 4 weeks (under 1 month),South Australia,8.96500126
Mar-1998,Under 4 weeks (under 1 month),Western Australia,12.59801167
Mar-1998,Under 4 weeks (under 1 month),Tasmania,2.81497129
Mar-1998,Under 4 weeks (under 1 month),Northern Territory,1.87412788
Mar-1998,Under 4 weeks (under 1 month),Australian Capital Territory,2.29014005
Mar-1998,4 weeks and under 13 weeks (1-3 months),New South Wales,61.04489245
Mar-1998,4 weeks and under 13 weeks (1-3 months),Victoria,48.9959498
Mar-1998,4 weeks and under 13 weeks (1-3 months),Queensland,45.06274781
Mar-1998,4 weeks and under 13 weeks (1-3 months),South Australia,14.74942591
Mar-1998,4 weeks and under 13 weeks (1-3 months),Western Australia,20.72228427
Mar-1998,4 weeks and under 13 weeks (1-3 months),Tasmania,4.78324923
Mar-1998,4 weeks and under 13 weeks (1-3 months),Northern Territory,2.02958549
Mar-1998,4 weeks and under 13 weeks (1-3 months),Australian Capital Territory,4.58843879
Mar-1998,13 weeks and under 26 weeks (3-6 months),New South Wales,34.27040343
Mar-1998,13 weeks and under 26 weeks (3-6 months),Victoria,32.23450673
Mar-1998,13 weeks and under 26 weeks (3-6 months),Queensland,22.55724174
Mar-1998,13 weeks and under 26 weeks (3-6 months),South Australia,9.63741671
Mar-1998,13 weeks and under 26 weeks (3-6 months),Western Australia,10.6348001
Mar-1998,13 weeks and under 26 weeks (3-6 months),Tasmania,3.76654607
Mar-1998,13 weeks and under 26 weeks (3-6 months),Northern Territory,1.10678776
Mar-1998,13 weeks and under 26 weeks (3-6 months),Australian Capital Territory,2.02375685
Mar-1998,26 weeks and under 52 weeks (6-12 months),New South Wales,32.61474361
Mar-1998,26 weeks and under 52 weeks (6-12 months),Victoria,29.60426462
Mar-1998,26 weeks and under 52 weeks (6-12 months),Queensland,20.17724874
Mar-1998,26 weeks and under 52 weeks (6-12 months),South Australia,11.77655729
Mar-1998,26 weeks and under 52 weeks (6-12 months),Western Australia,9.11637829
Mar-1998,26 weeks and under 52 weeks (6-12 months),Tasmania,3.46998654
Mar-1998,26 weeks and under 52 weeks (6-12 months),Northern Territory,0.62823386
Mar-1998,26 weeks and under 52 weeks (6-12 months),Australian Capital Territory,1.0788907
Mar-1998,52 weeks and under 104 weeks (1-2 years),New South Wales,32.35371305
Mar-1998,52 weeks and under 104 weeks (1-2 years),Victoria,25.56593841
Mar-1998,52 weeks and under 104 weeks (1-2 years),Queensland,16.66149987
Mar-1998,52 weeks and under 104 weeks (1-2 years),South Australia,10.00269963
Mar-1998,52 weeks and under 104 weeks (1-2 years),Western Australia,7.46852091
Mar-1998,52 weeks and under 104 weeks (1-2 years),Tasmania,4.43228922
Mar-1998,52 weeks and under 104 weeks (1-2 years),Northern Territory,0.33279742
Mar-1998,52 weeks and under 104 weeks (1-2 years),Australian Capital Territory,2.15789857
Mar-1998,104 weeks and over (2 years and over),New South Wales,40.4737544
Mar-1998,104 weeks and over (2 years and over),Victoria,32.0387629
Mar-1998,104 weeks and over (2 years and over),Queensland,20.49200437
Mar-1998,104 weeks and over (2 years and over),South Australia,14.53075883
Mar-1998,104 weeks and over (2 years and over),Western Australia,5.65424851
Mar-1998,104 weeks and over (2 years and over),Tasmania,3.77917921
Mar-1998,104 weeks and over (2 years and over),Northern Territory,0.35915965
Mar-1998,104 weeks and over (2 years and over),Australian Capital Territory,1.2174125
Apr-1998,Under 4 weeks (under 1 month),New South Wales,22.73175001
Apr-1998,Under 4 weeks (under 1 month),Victoria,26.75283598
Apr-1998,Under 4 weeks (under 1 month),Queensland,20.93914442
Apr-1998,Under 4 weeks (under 1 month),South Australia,6.90120713
Apr-1998,Under 4 weeks (under 1 month),Western Australia,10.41312127
Apr-1998,Under 4 weeks (under 1 month),Tasmania,2.19051235
Apr-1998,Under 4 weeks (under 1 month),Northern Territory,1.13935671
Apr-1998,Under 4 weeks (under 1 month),Australian Capital Territory,1.90153411
Apr-1998,4 weeks and under 13 weeks (1-3 months),New South Wales,44.23502458
Apr-1998,4 weeks and under 13 weeks (1-3 months),Victoria,43.48274485
Apr-1998,4 weeks and under 13 weeks (1-3 months),Queensland,37.20288956
Apr-1998,4 weeks and under 13 weeks (1-3 months),South Australia,12.91363727
Apr-1998,4 weeks and under 13 weeks (1-3 months),Western Australia,15.725873
Apr-1998,4 weeks and under 13 weeks (1-3 months),Tasmania,3.97731358
Apr-1998,4 weeks and under 13 weeks (1-3 months),Northern Territory,1.04972659
Apr-1998,4 weeks and under 13 weeks (1-3 months),Australian Capital Territory,2.875233
Apr-1998,13 weeks and under 26 weeks (3-6 months),New South Wales,44.21271269
Apr-1998,13 weeks and under 26 weeks (3-6 months),Victoria,36.25875364
Apr-1998,13 weeks and under 26 weeks (3-6 months),Queensland,29.17058427
Apr-1998,13 weeks and under 26 weeks (3-6 months),South Australia,11.51482627
Apr-1998,13 weeks and under 26 weeks (3-6 months),Western Australia,12.65285925
Apr-1998,13 weeks and under 26 weeks (3-6 months),Tasmania,3.03593069
Apr-1998,13 weeks and under 26 weeks (3-6 months),Northern Territory,0.99680336
Apr-1998,13 weeks and under 26 weeks (3-6 months),Australian Capital Territory,2.65072749
Apr-1998,26 weeks and under 52 weeks (6-12 months),New South Wales,30.72262469
Apr-1998,26 weeks and under 52 weeks (6-12 months),Victoria,22.81112646
Apr-1998,26 weeks and under 52 weeks (6-12 months),Queensland,20.73008905
Apr-1998,26 weeks and under 52 weeks (6-12 months),South Australia,9.20803447
Apr-1998,26 weeks and under 52 weeks (6-12 months),Western Australia,7.21525507
Apr-1998,26 weeks and under 52 weeks (6-12 months),Tasmania,3.00941622
Apr-1998,26 weeks and under 52 weeks (6-12 months),Northern Territory,0.62820856
Apr-1998,26 weeks and under 52 weeks (6-12 months),Australian Capital Territory,1.82334864
Apr-1998,52 weeks and under 104 weeks (1-2 years),New South Wales,30.11516393
Apr-1998,52 weeks and under 104 weeks (1-2 years),Victoria,28.69747749
Apr-1998,52 weeks and under 104 weeks (1-2 years),Queensland,17.10501545
Apr-1998,52 weeks and under 104 weeks (1-2 years),South Australia,9.93311277
Apr-1998,52 weeks and under 104 weeks (1-2 years),Western Australia,8.89570287
Apr-1998,52 weeks and under 104 weeks (1-2 years),Tasmania,4.11838658
Apr-1998,52 weeks and under 104 weeks (1-2 years),Northern Territory,0.26055882
Apr-1998,52 weeks and under 104 weeks (1-2 years),Australian Capital Territory,1.30998609
Apr-1998,104 weeks and over (2 years and over),New South Wales,37.40450563
Apr-1998,104 weeks and over (2 years and over),Victoria,28.60507903
Apr-1998,104 weeks and over (2 years and over),Queensland,18.21013008
Apr-1998,104 weeks and over (2 years and over),South Australia,14.15142437
Apr-1998,104 weeks and over (2 years and over),Western Australia,6.98923901
Apr-1998,104 weeks and over (2 years and over),Tasmania,4.13703286
Apr-1998,104 weeks and over (2 years and over),Northern Territory,0.64203467
Apr-1998,104 weeks and over (2 years and over),Australian Capital Territory,1.25875402
May-1998,Under 4 weeks (under 1 month),New South Wales,29.42697849
May-1998,Under 4 weeks (under 1 month),Victoria,23.93573381
May-1998,Under 4 weeks (under 1 month),Queensland,23.6913644
May-1998,Under 4 weeks (under 1 month),South Australia,8.05123935
May-1998,Under 4 weeks (under 1 month),Western Australia,14.88560192
May-1998,Under 4 weeks (under 1 month),Tasmania,1.84878682
May-1998,Under 4 weeks (under 1 month),Northern Territory,1.13543128
May-1998,Under 4 weeks (under 1 month),Australian Capital Territory,2.30288721
May-1998,4 weeks and under 13 weeks (1-3 months),New South Wales,43.51393734
May-1998,4 weeks and under 13 weeks (1-3 months),Victoria,35.20671857
May-1998,4 weeks and under 13 weeks (1-3 months),Queensland,27.61319751
May-1998,4 weeks and under 13 weeks (1-3 months),South Australia,14.8629502
May-1998,4 weeks and under 13 weeks (1-3 months),Western Australia,12.93021697
May-1998,4 weeks and under 13 weeks (1-3 months),Tasmania,4.383906
May-1998,4 weeks and under 13 weeks (1-3 months),Northern Territory,0.84410838
May-1998,4 weeks and under 13 weeks (1-3 months),Australian Capital Territory,2.38477291
May-1998,13 weeks and under 26 weeks (3-6 months),New South Wales,45.36110061
May-1998,13 weeks and under 26 weeks (3-6 months),Victoria,41.96616609
May-1998,13 weeks and under 26 weeks (3-6 months),Queensland,27.21089646
May-1998,13 weeks and under 26 weeks (3-6 months),South Australia,11.60810787
May-1998,13 weeks and under 26 weeks (3-6 months),Western Australia,11.89515246
May-1998,13 weeks and under 26 weeks (3-6 months),Tasmania,2.95972154
May-1998,13 weeks and under 26 weeks (3-6 months),Northern Territory,1.07716898
May-1998,13 weeks and under 26 weeks (3-6 months),Australian Capital Territory,3.27185707
May-1998,26 weeks and under 52 weeks (6-12 months),New South Wales,26.7825838
May-1998,26 weeks and under 52 weeks (6-12 months),Victoria,30.05648506
May-1998,26 weeks and under 52 weeks (6-12 months),Queensland,20.70101606
May-1998,26 weeks and under 52 weeks (6-12 months),South Australia,10.88107003
May-1998,26 weeks and under 52 weeks (6-12 months),Western Australia,10.20250587
May-1998,26 weeks and under 52 weeks (6-12 months),Tasmania,3.94306677
May-1998,26 weeks and under 52 weeks (6-12 months),Northern Territory,0.69540581
May-1998,26 weeks and under 52 weeks (6-12 months),Australian Capital Territory,0.88158111
May-1998,52 weeks and under 104 weeks (1-2 years),New South Wales,34.92057991
May-1998,52 weeks and under 104 weeks (1-2 years),Victoria,23.66862444
May-1998,52 weeks and under 104 weeks (1-2 years),Queensland,17.16742511
May-1998,52 weeks and under 104 weeks (1-2 years),South Australia,9.30415263
May-1998,52 weeks and under 104 weeks (1-2 years),Western Australia,7.24497106
May-1998,52 weeks and under 104 weeks (1-2 years),Tasmania,3.4474091
May-1998,52 weeks and under 104 weeks (1-2 years),Northern Territory,0.62742834
May-1998,52 weeks and under 104 weeks (1-2 years),Australian Capital Territory,1.81710008
May-1998,104 weeks and over (2 years and over),New South Wales,38.93080335
May-1998,104 weeks and over (2 years and over),Victoria,28.67327493
May-1998,104 weeks and over (2 years and over),Queensland,23.33494262
May-1998,104 weeks and over (2 years and over),South Australia,13.54120225
May-1998,104 weeks and over (2 years and over),Western Australia,7.22810893
May-1998,104 weeks and over (2 years and over),Tasmania,3.4411653
May-1998,104 weeks and over (2 years and over),Northern Territory,0.18765342
May-1998,104 weeks and over (2 years and over),Australian Capital Territory,1.14882219
Jun-1998,Under 4 weeks (under 1 month),New South Wales,28.72706203
Jun-1998,Under 4 weeks (under 1 month),Victoria,27.19766451
Jun-1998,Under 4 weeks (under 1 month),Queensland,21.12823757
Jun-1998,Under 4 weeks (under 1 month),South Australia,5.24319493
Jun-1998,Under 4 weeks (under 1 month),Western Australia,12.70311986
Jun-1998,Under 4 weeks (under 1 month),Tasmania,1.72063926
Jun-1998,Under 4 weeks (under 1 month),Northern Territory,0.95022839
Jun-1998,Under 4 weeks (under 1 month),Australian Capital Territory,0.98929991
Jun-1998,4 weeks and under 13 weeks (1-3 months),New South Wales,45.72144436
Jun-1998,4 weeks and under 13 weeks (1-3 months),Victoria,31.64984544
Jun-1998,4 weeks and under 13 weeks (1-3 months),Queensland,30.05658429
Jun-1998,4 weeks and under 13 weeks (1-3 months),South Australia,13.41601184
Jun-1998,4 weeks and under 13 weeks (1-3 months),Western Australia,14.99860191
Jun-1998,4 weeks and under 13 weeks (1-3 months),Tasmania,5.09989898
Jun-1998,4 weeks and under 13 weeks (1-3 months),Northern Territory,0.39251795
Jun-1998,4 weeks and under 13 weeks (1-3 months),Australian Capital Territory,2.32358705
Jun-1998,13 weeks and under 26 weeks (3-6 months),New South Wales,37.93541568
Jun-1998,13 weeks and under 26 weeks (3-6 months),Victoria,32.83355817
Jun-1998,13 weeks and under 26 weeks (3-6 months),Queensland,32.55963795
